provider,scenario,behavior,simultaneous_flights,currency,fixed_monthly,usage_monthly,environment_monthly,connection_monthly,replay_monthly,support_monthly,other_monthly,total_monthly,quote_evidence_id,status,notes
cirium_sky_stream,small,normal,20,,,,,,,,,,CI-PRICE,pending,
cirium_sky_stream,small,peak,20,,,,,,,,,,CI-PRICE,pending,
cirium_sky_stream,small,replay,20,,,,,,,,,,CI-PRICE,pending,
cirium_sky_stream,small,reconnect,20,,,,,,,,,,CI-PRICE,pending,
cirium_sky_stream,small,provider_failure,20,,,,,,,,,,CI-PRICE,pending,
cirium_sky_stream,growth,normal,100,,,,,,,,,,CI-PRICE,pending,
cirium_sky_stream,growth,peak,100,,,,,,,,,,CI-PRICE,pending,
cirium_sky_stream,growth,replay,100,,,,,,,,,,CI-PRICE,pending,
cirium_sky_stream,growth,reconnect,100,,,,,,,,,,CI-PRICE,pending,
cirium_sky_stream,growth,provider_failure,100,,,,,,,,,,CI-PRICE,pending,
cirium_sky_stream,scale,normal,500,,,,,,,,,,CI-PRICE,pending,
cirium_sky_stream,scale,peak,500,,,,,,,,,,CI-PRICE,pending,
cirium_sky_stream,scale,replay,500,,,,,,,,,,CI-PRICE,pending,
cirium_sky_stream,scale,reconnect,500,,,,,,,,,,CI-PRICE,pending,
cirium_sky_stream,scale,provider_failure,500,,,,,,,,,,CI-PRICE,pending,
flightaware_firehose,small,normal,20,,,,,,,,,,FA-PRICE,pending,
flightaware_firehose,small,peak,20,,,,,,,,,,FA-PRICE,pending,
flightaware_firehose,small,replay,20,,,,,,,,,,FA-PRICE,pending,
flightaware_firehose,small,reconnect,20,,,,,,,,,,FA-PRICE,pending,
flightaware_firehose,small,provider_failure,20,,,,,,,,,,FA-PRICE,pending,
flightaware_firehose,growth,normal,100,,,,,,,,,,FA-PRICE,pending,
flightaware_firehose,growth,peak,100,,,,,,,,,,FA-PRICE,pending,
flightaware_firehose,growth,replay,100,,,,,,,,,,FA-PRICE,pending,
flightaware_firehose,growth,reconnect,100,,,,,,,,,,FA-PRICE,pending,
flightaware_firehose,growth,provider_failure,100,,,,,,,,,,FA-PRICE,pending,
flightaware_firehose,scale,normal,500,,,,,,,,,,FA-PRICE,pending,
flightaware_firehose,scale,peak,500,,,,,,,,,,FA-PRICE,pending,
flightaware_firehose,scale,replay,500,,,,,,,,,,FA-PRICE,pending,
flightaware_firehose,scale,reconnect,500,,,,,,,,,,FA-PRICE,pending,
flightaware_firehose,scale,provider_failure,500,,,,,,,,,,FA-PRICE,pending,
