provider,question_id,answer,controlling_clause,limitations,additional_fee,evidence_id,reviewer,review_status,notes
flightaware_firehose,R-01,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,R-02,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,R-03,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,R-04,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,R-05,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,R-06,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,R-07,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,R-08,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,R-09,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,R-10,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,R-11,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,R-12,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,R-13,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,R-14,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,R-15,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,R-16,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,R-17,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,R-18,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,R-19,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,R-20,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,R-21,pending,,,,FA-RIGHTS,Legal,pending,
flightaware_firehose,S-01,pending,,,,FA-SLA,Engineering,pending,
flightaware_firehose,S-02,pending,,,,FA-SLA,Engineering,pending,
flightaware_firehose,S-03,pending,,,,FA-SLA,Engineering,pending,
flightaware_firehose,S-04,pending,,,,FA-SLA,Engineering,pending,
flightaware_firehose,S-05,pending,,,,FA-SLA,Engineering,pending,
flightaware_firehose,S-06,pending,,,,FA-SLA,Engineering,pending,
flightaware_firehose,S-07,pending,,,,FA-SLA,Engineering,pending,
flightaware_firehose,S-08,pending,,,,FA-SLA,Engineering,pending,
flightaware_firehose,S-09,pending,,,,FA-SLA,Engineering,pending,
flightaware_firehose,S-10,pending,,,,FA-SLA,Engineering,pending,
flightaware_firehose,S-11,pending,,,,FA-SLA,Engineering,pending,
flightaware_firehose,S-12,pending,,,,FA-SLA,Engineering,pending,
cirium_sky_stream,R-01,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,R-02,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,R-03,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,R-04,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,R-05,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,R-06,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,R-07,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,R-08,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,R-09,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,R-10,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,R-11,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,R-12,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,R-13,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,R-14,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,R-15,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,R-16,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,R-17,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,R-18,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,R-19,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,R-20,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,R-21,pending,,,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,S-01,pending,,,,CI-SLA,Engineering,pending,
cirium_sky_stream,S-02,pending,,,,CI-SLA,Engineering,pending,
cirium_sky_stream,S-03,pending,,,,CI-SLA,Engineering,pending,
cirium_sky_stream,S-04,pending,,,,CI-SLA,Engineering,pending,
cirium_sky_stream,S-05,pending,,,,CI-SLA,Engineering,pending,
cirium_sky_stream,S-06,pending,,,,CI-SLA,Engineering,pending,
cirium_sky_stream,S-07,pending,,,,CI-SLA,Engineering,pending,
cirium_sky_stream,S-08,pending,,,,CI-SLA,Engineering,pending,
cirium_sky_stream,S-09,pending,,,,CI-SLA,Engineering,pending,
cirium_sky_stream,S-10,pending,,,,CI-SLA,Engineering,pending,
cirium_sky_stream,S-11,pending,,,,CI-SLA,Engineering,pending,
cirium_sky_stream,S-12,pending,,,,CI-SLA,Engineering,pending,
