provider,dimension,weight,points,evidence_ids,reviewer,status,notes
flightaware_firehose,target_flight_regional_coverage,30,,TRIAL-RESULT,Engineering,pending,
flightaware_firehose,freshness_data_quality,20,,TRIAL-RESULT,Engineering,pending,
flightaware_firehose,recovery_operational_reliability,15,,TRIAL-RESULT,Engineering,pending,
flightaware_firehose,flight_identity_operational_events,10,,TRIAL-RESULT,Product,pending,
flightaware_firehose,rights_retention_simplicity,10,,FA-RIGHTS,Legal,pending,
flightaware_firehose,three_scale_total_cost,10,,FA-PRICE,Product,pending,
flightaware_firehose,implementation_support_fit,5,,FA-SLA,Engineering,pending,
cirium_sky_stream,target_flight_regional_coverage,30,,TRIAL-RESULT,Engineering,pending,
cirium_sky_stream,freshness_data_quality,20,,TRIAL-RESULT,Engineering,pending,
cirium_sky_stream,recovery_operational_reliability,15,,TRIAL-RESULT,Engineering,pending,
cirium_sky_stream,flight_identity_operational_events,10,,TRIAL-RESULT,Product,pending,
cirium_sky_stream,rights_retention_simplicity,10,,CI-RIGHTS,Legal,pending,
cirium_sky_stream,three_scale_total_cost,10,,CI-PRICE,Product,pending,
cirium_sky_stream,implementation_support_fit,5,,CI-SLA,Engineering,pending,
