provider,region,metric,method_version,window_start,window_end,numerator,denominator,value,unit,sample_count,evidence_id,status,notes
cirium_sky_stream,all,expected_flight_identification,ft301-v1,,,,,,percent,,CI-TRIAL,pending,
cirium_sky_stream,all,position_availability,ft301-v1,,,,,,percent,,CI-TRIAL,pending,
cirium_sky_stream,all,position_age_15s,ft301-v1,,,,,,percent,,CI-TRIAL,pending,
cirium_sky_stream,all,position_age_30s,ft301-v1,,,,,,percent,,CI-TRIAL,pending,
cirium_sky_stream,all,position_age_60s,ft301-v1,,,,,,percent,,CI-TRIAL,pending,
cirium_sky_stream,all,delivery_lag_p50,ft301-v1,,,,,,seconds,,CI-TRIAL,pending,
cirium_sky_stream,all,delivery_lag_p95,ft301-v1,,,,,,seconds,,CI-TRIAL,pending,
cirium_sky_stream,all,delivery_lag_p99,ft301-v1,,,,,,seconds,,CI-TRIAL,pending,
cirium_sky_stream,all,longest_position_gap,ft301-v1,,,,,,seconds,,CI-TRIAL,pending,
cirium_sky_stream,all,replay_completeness,ft301-v1,,,,,,percent,,CI-TRIAL,pending,
cirium_sky_stream,all,schedule_accuracy,ft301-v1,,,,,,percent,,CI-TRIAL,pending,
cirium_sky_stream,all,tail_continuity,ft301-v1,,,,,,percent,,CI-TRIAL,pending,
cirium_sky_stream,all,route_accuracy,ft301-v1,,,,,,percent,,CI-TRIAL,pending,
cirium_sky_stream,all,diversion_precision,ft301-v1,,,,,,percent,,CI-TRIAL,pending,
cirium_sky_stream,all,diversion_recall,ft301-v1,,,,,,percent,,CI-TRIAL,pending,
cirium_sky_stream,all,cancellation_precision,ft301-v1,,,,,,percent,,CI-TRIAL,pending,
cirium_sky_stream,all,cancellation_recall,ft301-v1,,,,,,percent,,CI-TRIAL,pending,
cirium_sky_stream,all,disconnect_count,ft301-v1,,,,,,count,,CI-TRIAL,pending,
cirium_sky_stream,all,disconnect_duration,ft301-v1,,,,,,seconds,,CI-TRIAL,pending,
cirium_sky_stream,all,duplicate_delivery_rate,ft301-v1,,,,,,percent,,CI-TRIAL,pending,
cirium_sky_stream,all,out_of_order_rate,ft301-v1,,,,,,percent,,CI-TRIAL,pending,
cirium_sky_stream,all,collector_availability,ft301-v1,,,,,,percent,,CI-TRIAL,pending,
flightaware_firehose,all,expected_flight_identification,ft301-v1,,,,,,percent,,FA-TRIAL,pending,
flightaware_firehose,all,position_availability,ft301-v1,,,,,,percent,,FA-TRIAL,pending,
flightaware_firehose,all,position_age_15s,ft301-v1,,,,,,percent,,FA-TRIAL,pending,
flightaware_firehose,all,position_age_30s,ft301-v1,,,,,,percent,,FA-TRIAL,pending,
flightaware_firehose,all,position_age_60s,ft301-v1,,,,,,percent,,FA-TRIAL,pending,
flightaware_firehose,all,delivery_lag_p50,ft301-v1,,,,,,seconds,,FA-TRIAL,pending,
flightaware_firehose,all,delivery_lag_p95,ft301-v1,,,,,,seconds,,FA-TRIAL,pending,
flightaware_firehose,all,delivery_lag_p99,ft301-v1,,,,,,seconds,,FA-TRIAL,pending,
flightaware_firehose,all,longest_position_gap,ft301-v1,,,,,,seconds,,FA-TRIAL,pending,
flightaware_firehose,all,replay_completeness,ft301-v1,,,,,,percent,,FA-TRIAL,pending,
flightaware_firehose,all,schedule_accuracy,ft301-v1,,,,,,percent,,FA-TRIAL,pending,
flightaware_firehose,all,tail_continuity,ft301-v1,,,,,,percent,,FA-TRIAL,pending,
flightaware_firehose,all,route_accuracy,ft301-v1,,,,,,percent,,FA-TRIAL,pending,
flightaware_firehose,all,diversion_precision,ft301-v1,,,,,,percent,,FA-TRIAL,pending,
flightaware_firehose,all,diversion_recall,ft301-v1,,,,,,percent,,FA-TRIAL,pending,
flightaware_firehose,all,cancellation_precision,ft301-v1,,,,,,percent,,FA-TRIAL,pending,
flightaware_firehose,all,cancellation_recall,ft301-v1,,,,,,percent,,FA-TRIAL,pending,
flightaware_firehose,all,disconnect_count,ft301-v1,,,,,,count,,FA-TRIAL,pending,
flightaware_firehose,all,disconnect_duration,ft301-v1,,,,,,seconds,,FA-TRIAL,pending,
flightaware_firehose,all,duplicate_delivery_rate,ft301-v1,,,,,,percent,,FA-TRIAL,pending,
flightaware_firehose,all,out_of_order_rate,ft301-v1,,,,,,percent,,FA-TRIAL,pending,
flightaware_firehose,all,collector_availability,ft301-v1,,,,,,percent,,FA-TRIAL,pending,
